Model,Mean AUROC,Std AUROC
Logistic Regression (C=1.0),0.8367863784475343,0.0029642891730171446
Logistic Regression (C=0.1),0.8369860904837687,0.0028568219523884197
Logistic Regression (C=0.01),0.8364798624250293,0.002611072372054848
Random Forest (depth=None),0.8687138204136119,0.002154264385580512
Random Forest (depth=10),0.8640133660684031,0.0023978812985382385
Random Forest (depth=5),0.847683631176747,0.0032221410765103493
XGBoost (depth=6),0.8679827096865684,0.003029720581657163
XGBoost (depth=3),0.857882082410938,0.0035980528030330706
SVM (C=1.0),0.8506751515688495,0.0025004178485296194
SVM (C=0.1),0.8471765575428704,0.001933211570919274
